threshold,model,precision_proxy,recall_proxy,f1,detections,tiles_hit
0.2,YOLO26n,0.2825,0.5577,0.375,2053,524
0.2,YOLOv8n,0.1976,0.7308,0.3111,3846,652
0.2,YOLOv5s,0.3634,0.6548,0.4674,1874,420
0.22,YOLO26n,0.307,0.501,0.3807,1697,479
0.22,YOLOv8n,0.2119,0.6538,0.3201,3209,597
0.22,YOLOv5s,0.3811,0.5827,0.4608,1590,394
0.24,YOLO26n,0.34,0.4548,0.3891,1391,411
0.24,YOLOv8n,0.2277,0.5875,0.3282,2683,545
0.24,YOLOv5s,0.4118,0.5317,0.4641,1343,363
0.26,YOLO26n,0.3681,0.4077,0.3869,1152,357
0.26,YOLOv8n,0.2415,0.525,0.3308,2261,500
0.26,YOLOv5s,0.434,0.4808,0.4562,1152,338
0.28,YOLO26n,0.4138,0.374,0.3929,940,317
0.28,YOLOv8n,0.2548,0.4712,0.3307,1923,447
0.28,YOLOv5s,0.4535,0.4356,0.4443,999,319
0.3,YOLO26n,0.4582,0.3375,0.3887,766,276
0.3,YOLOv8n,0.2686,0.424,0.3289,1642,410
0.3,YOLOv5s,0.4686,0.3808,0.4202,845,297
0.32,YOLO26n,0.5207,0.3144,0.3921,628,234
0.32,YOLOv8n,0.2803,0.3731,0.3201,1384,366
0.32,YOLOv5s,0.4993,0.3442,0.4075,717,274
0.34,YOLO26n,0.6024,0.2942,0.3953,508,205
0.34,YOLOv8n,0.2886,0.3327,0.3091,1199,342
0.34,YOLOv5s,0.512,0.3067,0.3836,623,254
0.36,YOLO26n,0.7139,0.276,0.3981,402,172
0.36,YOLOv8n,0.2968,0.2942,0.2955,1031,313
0.36,YOLOv5s,0.5282,0.2615,0.3498,515,227
0.38,YOLO26n,0.8208,0.251,0.3844,318,146
0.38,YOLOv8n,0.3055,0.2567,0.279,874,282
0.38,YOLOv5s,0.5453,0.2375,0.3309,453,211
0.4,YOLO26n,1.0,0.2375,0.3838,247,117
0.4,YOLOv8n,0.307,0.2163,0.2538,733,262
0.4,YOLOv5s,0.5751,0.2173,0.3154,393,196
0.42,YOLO26n,1.0,0.1952,0.3266,203,101
0.42,YOLOv8n,0.3159,0.1856,0.2338,611,228
0.42,YOLOv5s,0.5943,0.1817,0.2784,318,168
0.44,YOLO26n,1.0,0.151,0.2623,157,82
0.44,YOLOv8n,0.3273,0.1577,0.2128,501,204
0.44,YOLOv5s,0.6178,0.1538,0.2463,259,145
0.46,YOLO26n,1.0,0.1192,0.2131,124,65
0.46,YOLOv8n,0.3325,0.1337,0.1907,418,180
0.46,YOLOv5s,0.6232,0.124,0.2069,207,122
0.48,YOLO26n,1.0,0.0933,0.1706,97,60
0.48,YOLOv8n,0.346,0.1135,0.1709,341,156
0.48,YOLOv5s,0.673,0.1029,0.1785,159,93
0.5,YOLO26n,1.0,0.0683,0.1278,71,49
0.5,YOLOv8n,0.3561,0.0952,0.1502,278,133
0.5,YOLOv5s,0.696,0.0837,0.1494,125,72
0.52,YOLO26n,1.0,0.0596,0.1125,62,44
0.52,YOLOv8n,0.3394,0.0721,0.119,221,110
0.52,YOLOv5s,0.7129,0.0692,0.1262,101,63
0.54,YOLO26n,1.0,0.0481,0.0917,50,36
0.54,YOLOv8n,0.3099,0.051,0.0875,171,85
0.54,YOLOv5s,0.6883,0.051,0.0949,77,50
0.56,YOLO26n,1.0,0.0356,0.0687,37,27
0.56,YOLOv8n,0.3088,0.0404,0.0714,136,69
0.56,YOLOv5s,0.6863,0.0337,0.0642,51,35
0.58,YOLO26n,1.0,0.024,0.0469,25,19
0.58,YOLOv8n,0.3271,0.0337,0.061,107,59
0.58,YOLOv5s,0.5769,0.0144,0.0281,26,21
0.6,YOLO26n,1.0,0.0144,0.0284,15,13
0.6,YOLOv8n,0.3333,0.026,0.0482,81,49
0.6,YOLOv5s,0.5556,0.0096,0.0189,18,15
0.62,YOLO26n,1.0,0.0115,0.0228,12,11
0.62,YOLOv8n,0.3214,0.0173,0.0328,56,38
0.62,YOLOv5s,0.5714,0.0077,0.0152,14,13
0.64,YOLO26n,1.0,0.0077,0.0153,8,7
0.64,YOLOv8n,0.3415,0.0135,0.0259,41,32
0.64,YOLOv5s,0.5714,0.0038,0.0076,7,6
0.66,YOLO26n,1.0,0.0038,0.0077,4,3
0.66,YOLOv8n,0.2069,0.0058,0.0112,29,22
0.66,YOLOv5s,0.5714,0.0038,0.0076,7,6
0.68,YOLO26n,1.0,0.0,0.0,0,0
0.68,YOLOv8n,0.1667,0.0029,0.0057,18,14
0.68,YOLOv5s,0.5,0.0019,0.0038,4,3
0.7,YOLO26n,1.0,0.0,0.0,0,0
0.7,YOLOv8n,0.2143,0.0029,0.0057,14,11
0.7,YOLOv5s,0.0,0.0,0.0,2,2
0.72,YOLO26n,1.0,0.0,0.0,0,0
0.72,YOLOv8n,0.1111,0.001,0.0019,9,7
0.72,YOLOv5s,1.0,0.0,0.0,0,0
0.74,YOLO26n,1.0,0.0,0.0,0,0
0.74,YOLOv8n,0.0,0.0,0.0,7,6
0.74,YOLOv5s,1.0,0.0,0.0,0,0
0.76,YOLO26n,1.0,0.0,0.0,0,0
0.76,YOLOv8n,0.0,0.0,0.0,5,4
0.76,YOLOv5s,1.0,0.0,0.0,0,0
0.78,YOLO26n,1.0,0.0,0.0,0,0
0.78,YOLOv8n,0.0,0.0,0.0,3,2
0.78,YOLOv5s,1.0,0.0,0.0,0,0
0.8,YOLO26n,1.0,0.0,0.0,0,0
0.8,YOLOv8n,0.0,0.0,0.0,3,2
0.8,YOLOv5s,1.0,0.0,0.0,0,0
0.82,YOLO26n,1.0,0.0,0.0,0,0
0.82,YOLOv8n,0.0,0.0,0.0,3,2
0.82,YOLOv5s,1.0,0.0,0.0,0,0
0.84,YOLO26n,1.0,0.0,0.0,0,0
0.84,YOLOv8n,0.0,0.0,0.0,2,2
0.84,YOLOv5s,1.0,0.0,0.0,0,0
