source_product,source_date,source_xml,source_img,tile_filename,tile_x,tile_y,tile_width,tile_height,mean_pixel_value,min_pixel_value,max_pixel_value,is_edge_padded,status
ch2_ohr_ncp_20190906T2241285714_d_img_gds,20190906,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.xml,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.img,ch2_ohr_ncp_20190906T2241285714_d_img_gds_x00000_y00000.png,0,0,640,640,25.435,2.0,171.0,False,usable
ch2_ohr_ncp_20190906T2241285714_d_img_gds,20190906,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.xml,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.img,ch2_ohr_ncp_20190906T2241285714_d_img_gds_x00640_y00000.png,640,0,640,640,14.585,2.0,121.0,False,dark_discarded
ch2_ohr_ncp_20190906T2241285714_d_img_gds,20190906,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.xml,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.img,ch2_ohr_ncp_20190906T2241285714_d_img_gds_x01280_y00000.png,1280,0,640,640,20.466,4.0,133.0,False,usable
ch2_ohr_ncp_20190906T2241285714_d_img_gds,20190906,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.xml,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.img,ch2_ohr_ncp_20190906T2241285714_d_img_gds_x01920_y00000.png,1920,0,640,640,29.492,4.0,166.0,False,usable
ch2_ohr_ncp_20190906T2241285714_d_img_gds,20190906,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.xml,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.img,ch2_ohr_ncp_20190906T2241285714_d_img_gds_x02560_y00000.png,2560,0,640,640,9.82,4.0,178.0,False,dark_discarded
ch2_ohr_ncp_20190906T2241285714_d_img_gds,20190906,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.xml,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.img,ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03200_y00000.png,3200,0,640,640,45.191,7.0,255.0,False,usable
ch2_ohr_ncp_20190906T2241285714_d_img_gds,20190906,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.xml,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.img,ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03840_y00000.png,3840,0,640,640,71.496,6.0,199.0,False,usable
ch2_ohr_ncp_20190906T2241285714_d_img_gds,20190906,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.xml,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.img,ch2_ohr_ncp_20190906T2241285714_d_img_gds_x04480_y00000.png,4480,0,640,640,7.567,3.0,136.0,False,dark_discarded
ch2_ohr_ncp_20190906T2241285714_d_img_gds,20190906,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.xml,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.img,ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05120_y00000.png,5120,0,640,640,5.19,3.0,8.0,False,dark_discarded
ch2_ohr_ncp_20190906T2241285714_d_img_gds,20190906,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.xml,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.img,ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05760_y00000.png,5760,0,640,640,15.687,4.0,155.0,False,dark_discarded
ch2_ohr_ncp_20190906T2241285714_d_img_gds,20190906,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.xml,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.img,ch2_ohr_ncp_20190906T2241285714_d_img_gds_x06400_y00000.png,6400,0,640,640,110.908,11.0,255.0,False,usable
ch2_ohr_ncp_20190906T2241285714_d_img_gds,20190906,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.xml,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\data\extracted\20190906\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.img,ch2_ohr_ncp_20190906T2241285714_d_img_gds_x07040_y00000.png,7040,0,640,640,140.691,40.0,255.0,False,usable
