tile_filename,source_product,tile_x,tile_y,center_lat,center_lon,std_dev,prox_score,mean_pixel,std_norm,priority_score
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x00000_y00000.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,0,0,-70.561812,22.580948,73.557,0.0,25.43,0.43780967461817444,0.1751
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x01280_y00000.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,1280,0,-70.561601,22.612024,70.31,0.0,20.47,0.3963452010011749,0.1585
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x01920_y00000.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,1920,0,-70.561494,22.627573,69.402,0.0,29.49,0.38474996168973796,0.1539
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03200_y00000.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,3200,0,-70.561275,22.65869,63.215,0.0,45.19,0.3057414312713899,0.1223
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03840_y00000.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,3840,0,-70.561163,22.674259,55.348,0.0,71.5,0.20527915410941408,0.0821
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x06400_y00000.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,6400,0,-70.560703,22.736602,63.372,0.0,110.91,0.30774633498493126,0.1231
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x07040_y00000.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,7040,0,-70.560585,22.752205,55.286,0.0,140.69,0.20448740869387547,0.0818
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x07680_y00000.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,7680,0,-70.560465,22.767815,57.749,0.0,121.9,0.2359401338305154,0.0944
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x08320_y00000.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,8320,0,-70.560344,22.783432,56.666,0.0,129.42,0.22211012923328388,0.0888
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x08960_y00000.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,8960,0,-70.560221,22.799056,57.594,0.0,138.66,0.23396077029166878,0.0936
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x09600_y00000.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,9600,0,-70.560097,22.814686,52.031,0.0,131.06,0.1629207743780967,0.0652
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x00000_y00640.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,0,640,-70.567136,22.581258,69.23,0.0,39.98,0.38255350666598564,0.153
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x00640_y00640.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,640,640,-70.567031,22.596797,66.732,0.0,30.86,0.35065382847218673,0.1403
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03200_y00640.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,3200,640,-70.566598,22.65902,76.649,0.0,38.11,0.47729478469632736,0.1909
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03840_y00640.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,3840,640,-70.566486,22.674593,68.241,0.0,64.5,0.3699238902794095,0.148
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x06400_y00640.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,6400,640,-70.566026,22.736953,59.301,0.0,80.87,0.25575930939367625,0.1023
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x07040_y00640.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,7040,640,-70.565907,22.75256,49.118,0.0,147.29,0.12572150993512796,0.0503
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x07680_y00640.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,7680,640,-70.565787,22.768173,58.404,0.0,125.21,0.24430454104306076,0.0977
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x08320_y00640.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,8320,640,-70.565666,22.783794,58.088,0.0,128.34,0.24026919344128314,0.0961
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x08960_y00640.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,8960,640,-70.565543,22.799422,56.646,0.0,146.55,0.221854727486336,0.0887
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x09600_y00640.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,9600,640,-70.565419,22.815056,57.197,0.0,136.29,0.22889104561475201,0.0916
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x10240_y00640.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,10240,640,-70.565294,22.830698,90.785,0.0,51.36,0.6578127394391378,0.2631
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x00000_y01280.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,0,1280,-70.572459,22.581568,64.996,0.0,40.36,0.3284849568371047,0.1314
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x00640_y01280.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,640,1280,-70.572354,22.597111,60.131,0.0,44.28,0.2663584818920161,0.1065
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03200_y01280.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,3200,1280,-70.571921,22.65935,65.331,0.0,28.9,0.33276293609848295,0.1331
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03840_y01280.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,3840,1280,-70.571809,22.674927,70.26,0.0,39.56,0.39570669663380503,0.1583
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x06400_y01280.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,6400,1280,-70.571348,22.737303,58.843,0.0,52.35,0.24991060938856824,0.1
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x07040_y01280.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,7040,1280,-70.571229,22.752914,55.287,0.0,123.3,0.20450017878122284,0.0818
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x07680_y01280.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,7680,1280,-70.57111,22.768532,57.431,0.0,145.98,0.23187924605404295,0.0928
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x08320_y01280.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,8320,1280,-70.570988,22.784157,58.463,0.0,135.49,0.24505797619655717,0.098
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x08960_y01280.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,8960,1280,-70.570865,22.799788,59.94,0.0,138.82,0.2639193952086632,0.1056
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x09600_y01280.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,9600,1280,-70.570741,22.815427,59.857,0.0,128.38,0.2628594779588292,0.1051
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x10240_y01280.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,10240,1280,-70.570616,22.831072,72.283,0.0,105.85,0.42154058333759004,0.1686
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x00000_y01920.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,0,1920,-70.577782,22.581878,68.828,0.0,56.5,0.37741993155233183,0.151
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x00640_y01920.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,640,1920,-70.577677,22.597425,69.55,0.0,47.91,0.38663993461715274,0.1547
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03200_y01920.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,3200,1920,-70.577244,22.659681,68.494,0.0,27.23,0.37315472237830105,0.1493
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03840_y01920.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,3840,1920,-70.577132,22.675262,80.666,0.0,21.64,0.5285922255708229,0.2114
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x06400_y01920.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,6400,1920,-70.576671,22.737654,69.04,0.0,21.76,0.38012719006998014,0.1521
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x07040_y01920.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,7040,1920,-70.576552,22.753269,56.587,0.0,69.77,0.22110129233283957,0.0884
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x07680_y01920.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,7680,1920,-70.576432,22.768891,63.496,0.0,123.75,0.3093298258160086,0.1237
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x08320_y01920.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,8320,1920,-70.57631,22.78452,51.374,0.0,172.75,0.15453082699085663,0.0618
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x08960_y01920.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,8960,1920,-70.576188,22.800155,52.617,0.0,152.09,0.17040404556367159,0.0682
