tile,conf,x1,y1,x2,y2
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x01920_y47360.png,0.6725,250.17,509.31,262.61,556.41
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x01920_y47360.png,0.2989,250.34,526.4,260.4,555.84
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x01920_y91520.png,0.2515,132.85,491.7,149.94,541.31
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x02560_y40960.png,0.2907,310.69,527.36,324.76,566.26
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x02560_y40960.png,0.2643,310.63,509.61,325.43,551.65
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x02560_y40960.png,0.2193,311.66,501.39,325.46,540.57
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03200_y08960.png,0.3458,263.05,151.92,276.89,190.36
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03200_y08960.png,0.2724,268.05,69.1,275.75,93.95
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03200_y08960.png,0.2116,263.66,108.82,278.57,157.18
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03200_y25600.png,0.2072,107.84,150.29,117.89,181.13
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03840_y05120.png,0.2388,547.7,185.7,635.07,267.93
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03840_y64000.png,0.2299,570.98,500.81,580.53,528.01
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x04480_y64640.png,0.641,413.05,243.45,420.38,269.92
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x04480_y64640.png,0.5673,411.22,224.09,422.48,269.84
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x04480_y64640.png,0.4414,412.0,275.59,421.09,308.68
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x04480_y64640.png,0.3534,399.5,255.45,421.27,303.09
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x04480_y64640.png,0.3236,407.03,206.59,421.41,252.17
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05120_y12160.png,0.3407,237.7,524.33,261.15,573.07
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05120_y21120.png,0.2495,608.26,124.24,629.52,171.37
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05120_y51200.png,0.5665,592.39,284.03,613.8,335.23
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05760_y22400.png,0.449,620.83,425.63,629.28,453.24
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05760_y22400.png,0.3844,613.41,429.29,630.35,475.31
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05760_y75520.png,0.2333,167.82,382.34,252.32,468.62
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x06400_y08320.png,0.2269,373.75,474.1,390.97,518.98
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x06400_y17280.png,0.4401,177.63,491.52,197.78,540.89
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x06400_y17280.png,0.2261,177.07,509.13,196.91,542.18
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x06400_y42880.png,0.2098,438.3,336.89,453.71,374.49
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x06400_y45440.png,0.2012,0.0,20.96,64.86,98.08
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x07040_y58240.png,0.2901,598.84,424.79,640.0,487.73
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x07040_y58240.png,0.2882,600.54,419.29,636.74,476.74
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x08320_y33280.png,0.2052,521.34,569.31,532.77,595.9
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x08320_y40320.png,0.4293,124.31,113.25,138.75,149.08
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x08320_y52480.png,0.2339,0.0,220.16,17.19,275.64
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x08960_y87040.png,0.3134,133.04,99.13,197.52,163.9
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x10240_y03200.png,0.3709,42.96,93.3,55.35,139.84
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x10240_y03200.png,0.3316,43.37,82.57,55.05,127.87
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x10240_y03200.png,0.2962,146.74,67.28,181.44,147.65
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x10240_y03200.png,0.286,62.6,106.4,85.53,142.98
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x10240_y69120.png,0.3915,81.38,222.31,100.67,269.7
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x10240_y69120.png,0.2751,79.55,242.18,90.81,266.57
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x01280_y46080.png,0.3931,456.9,463.22,470.1,505.48
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x01280_y46080.png,0.361,457.55,449.85,469.94,492.37
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x01280_y46080.png,0.268,459.81,483.39,468.73,505.96
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x01280_y65920.png,0.2441,465.65,82.37,547.34,157.37
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x01920_y73600.png,0.2963,275.96,125.04,294.34,171.02
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x01920_y73600.png,0.2465,134.27,152.8,236.75,243.37
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x02560_y66560.png,0.6496,217.99,213.75,229.51,246.76
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x02560_y66560.png,0.3779,157.44,218.85,241.2,301.01
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x03840_y39680.png,0.3036,1.95,347.5,84.04,429.71
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x03840_y39680.png,0.258,57.02,319.04,70.61,362.7
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x03840_y39680.png,0.2497,59.24,341.71,69.34,368.08
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x03840_y39680.png,0.2299,8.98,345.84,79.37,414.7
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x03840_y63360.png,0.2611,138.88,177.01,162.45,212.1
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x03840_y63360.png,0.2602,154.78,162.62,165.95,198.18
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x04480_y14080.png,0.5333,477.6,598.19,483.65,617.83
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x04480_y14080.png,0.4278,476.77,612.94,483.17,631.17
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x04480_y18560.png,0.2278,378.42,402.67,389.29,435.66
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x04480_y49280.png,0.2063,556.74,544.58,635.96,618.59
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x05760_y85760.png,0.6527,38.22,429.48,53.73,477.59
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x06400_y08960.png,0.2142,0.0,282.66,48.62,348.35
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x06400_y51840.png,0.5043,7.34,377.2,36.95,427.31
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x07040_y90240.png,0.2968,325.8,485.98,398.15,551.36
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x07040_y90240.png,0.2004,316.28,490.63,405.71,563.09
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x07680_y48000.png,0.2248,174.14,163.99,263.64,242.0
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x07680_y65280.png,0.4535,104.35,130.1,130.78,165.64
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x07680_y65280.png,0.381,91.4,127.95,123.52,166.49
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x07680_y65280.png,0.3363,91.61,98.5,102.73,141.03
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x07680_y65280.png,0.2682,92.46,112.82,102.23,144.59
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x07680_y65280.png,0.2439,92.43,84.92,100.17,109.05
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x08960_y05120.png,0.427,55.5,432.02,69.54,475.74
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x08960_y05120.png,0.3238,54.78,443.21,70.22,488.56
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x09600_y16000.png,0.2198,459.39,42.27,485.38,80.89
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x09600_y16000.png,0.2065,464.18,38.66,485.13,76.24
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x10880_y37120.png,0.2269,601.58,350.0,620.65,407.27
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x11520_y81920.png,0.3294,169.12,161.52,181.58,204.55
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x11520_y81920.png,0.2816,168.96,174.07,181.98,220.46
ch2_ohr_ncp_20190907T0438126359_d_img_g26_x11520_y81920.png,0.2588,170.29,190.8,181.69,232.29
ch2_ohr_ncp_20240425T1012478407_d_img_d18_x00000_y60160.png,0.3666,436.9,556.34,528.81,640.0
