tile,conf,x1,y1,x2,y2
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x01280_y67200.png,0.2292,221.48,615.15,271.6,640.0
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05120_y80640.png,0.3373,505.67,48.0,511.76,55.43
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05120_y80640.png,0.2652,531.81,35.58,537.36,40.98
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05760_y39680.png,0.259,56.23,432.04,61.45,437.21
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x06400_y75520.png,0.431,173.03,418.67,180.01,427.73
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x06400_y75520.png,0.2079,190.6,398.95,196.13,405.6
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x06400_y75520.png,0.2037,186.24,371.24,196.19,383.49
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x07680_y01920.png,0.21,515.31,159.03,527.13,170.69
ch2_ohr_ncp_20240425T1012478407_d_img_d18_x01280_y20480.png,0.465,287.6,117.97,298.46,127.88
ch2_ohr_ncp_20240425T1012478407_d_img_d18_x01280_y20480.png,0.3166,275.69,158.44,284.0,165.71
ch2_ohr_ncp_20240425T1012478407_d_img_d18_x01280_y20480.png,0.2473,369.94,70.71,376.84,76.08
ch2_ohr_ncp_20240425T1012478407_d_img_d18_x05120_y62720.png,0.449,378.9,51.55,383.38,56.59
ch2_ohr_ncp_20240425T1209509264_d_img_d18_x00640_y14720.png,0.2322,559.63,605.77,590.1,638.68
ch2_ohr_ncp_20240425T1209509264_d_img_d18_x01280_y30720.png,0.202,514.41,277.03,553.2,311.38
ch2_ohr_ncp_20240425T1209509264_d_img_d18_x07680_y36480.png,0.2538,469.85,479.16,512.18,521.18
ch2_ohr_ncp_20240425T1406019344_d_img_d18_x01280_y76160.png,0.2962,545.54,54.6,551.42,60.28
ch2_ohr_ncp_20240425T1406019344_d_img_d18_x01920_y48000.png,0.2653,627.88,552.23,639.14,565.04
ch2_ohr_ncp_20240425T1406019344_d_img_d18_x01920_y48000.png,0.2025,599.74,574.38,604.54,580.04
ch2_ohr_ncp_20240425T1406019344_d_img_d18_x02560_y80640.png,0.2231,209.77,40.25,215.98,46.81
ch2_ohr_ncp_20240425T1406019344_d_img_d18_x03840_y71040.png,0.2297,397.5,517.29,404.01,524.05
ch2_ohr_ncp_20240425T1406019344_d_img_d18_x07040_y81280.png,0.2638,627.74,464.39,635.26,472.04
ch2_ohr_ncp_20240425T1406019344_d_img_d18_x07680_y18560.png,0.2457,536.31,535.8,541.75,541.77
ch2_ohr_ncp_20240425T1406019344_d_img_d18_x08960_y71040.png,0.4151,103.31,232.43,117.17,241.61
