tile,conf,x1,y1,x2,y2
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x01920_y47360.png,0.2509,8.23,635.95,13.04,639.74
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x02560_y62720.png,0.6367,35.92,79.58,41.99,86.9
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x02560_y62720.png,0.2626,36.14,79.98,44.0,87.11
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x02560_y75520.png,0.3154,597.14,596.61,604.12,604.64
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03200_y08960.png,0.2588,623.61,3.02,628.03,7.32
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03200_y08960.png,0.2009,515.93,632.1,526.25,638.87
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03200_y19200.png,0.2485,137.57,0.03,141.79,4.0
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03840_y05120.png,0.3161,604.0,603.43,609.94,608.16
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03840_y05120.png,0.2498,619.49,634.64,625.88,639.6
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03840_y05120.png,0.2469,605.38,603.61,612.0,608.08
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03840_y05120.png,0.2153,613.77,600.54,620.01,604.21
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03840_y05120.png,0.2081,594.31,623.56,597.58,628.0
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x04480_y62720.png,0.2042,391.19,586.93,396.02,592.86
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05120_y20480.png,0.2644,10.14,130.73,13.4,135.72
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05120_y80640.png,0.4251,623.29,15.49,629.0,20.79
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05120_y80640.png,0.3714,532.71,2.01,539.12,8.89
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05120_y80640.png,0.2545,537.2,30.0,542.28,36.16
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05120_y80640.png,0.21,531.96,35.85,537.22,40.91
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05760_y04480.png,0.2184,619.83,417.64,623.82,421.9
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05760_y13440.png,0.2777,274.48,21.73,331.31,80.55
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05760_y22400.png,0.4235,12.0,498.03,17.18,502.99
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05760_y22400.png,0.3247,0.0,496.29,4.01,501.58
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05760_y75520.png,0.2162,125.13,591.89,132.98,600.87
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x06400_y08320.png,0.3164,595.85,615.93,600.42,620.76
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x06400_y08320.png,0.2004,580.0,603.48,586.18,608.3
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x06400_y42880.png,0.2989,603.98,15.28,609.25,20.58
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x06400_y42880.png,0.2521,596.0,23.36,601.83,28.41
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x06400_y42880.png,0.2402,450.76,634.83,455.84,639.31
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x06400_y45440.png,0.3359,591.2,19.99,596.01,24.58
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x06400_y53760.png,0.2438,224.23,536.29,287.8,596.2
