product_id,lat_min,lat_max,lon_min,lon_max,total_tiles,usable_tiles,discarded_dark_tiles,pct_discarded
ch2_ohr_ncp_20241115T1525004388_d_img_d18,-89.950601,-89.193425,4.686608,229.330040,3002,974,2028,67.55
ch2_ohr_ncp_20241115T1326321339_d_img_d18,-89.946885,-89.199860,22.453651,229.728973,3002,893,2109,70.25
ch2_ohr_ncp_20211228T2209123959_d_img_d18,-89.923132,-89.252796,55.564452,233.745958,2375,466,1909,80.38
ch2_ohr_ncp_20250304T1050453845_d_img_d18,-89.951734,-89.172654,102.072361,232.376031,3002,649,2353,78.38
ch2_ohr_ncp_20250304T0655103610_d_img_d18,-89.926970,-89.195392,104.953501,233.187733,3002,721,2281,75.98
ch2_ohr_ncp_20251105T1048273563_d_img_d18,-89.910761,-89.190548,113.836622,232.100937,3002,587,2415,80.45
ch2_ohr_ncp_20250303T0915317317_d_img_d18,-89.780323,-89.227415,124.770539,234.812719,3002,770,2232,74.35
ch2_ohr_ncp_20251105T0849435342_d_img_d18,-89.909459,-89.148465,128.699355,232.534275,3002,532,2470,82.28
ch2_ohr_ncp_20250303T1114102638_d_img_d18,-89.823270,-89.188605,134.160473,236.150528,3002,790,2212,73.68
ch2_ohr_ncp_20250304T1249251285_d_img_d18,-89.975822,-89.153397,139.710728,232.139754,3002,714,2288,76.22
ch2_ohr_ncp_20241111T0516278303_d_img_d18,-89.505107,-89.260785,141.209420,231.436761,3002,652,2350,78.28
ch2_ohr_ncp_20251009T1006356898_d_img_d18,-89.956800,-89.107074,156.174781,230.323173,3002,827,2175,72.45
ch2_ohr_ncp_20251009T1205142094_d_img_d18,-89.915072,-89.069587,169.534354,230.226934,3002,895,2107,70.19
ch2_ohr_ncp_20251007T0659402125_d_img_d18,-89.723097,-89.081348,168.657921,242.771317,3002,289,2713,90.37
ch2_ohr_ncp_20240406T0647198831_d_img_d18,-89.568940,-89.199899,170.060102,256.935850,3002,587,2415,80.45
ch2_ohr_ncp_20251227T1027178560_d_img_d18,-89.630360,-88.991007,190.337869,251.095222,3002,619,2383,79.38
ch2_ohr_ncp_20250123T0750012833_d_img_d18,-89.847563,-89.023536,201.885520,250.490555,2280,1343,937,41.1
ch2_ohr_ncp_20250227T1046517020_d_img_d18,-89.532219,-89.155995,204.370974,264.271702,2451,491,1960,79.97
ch2_ohr_ncp_20251010T1140338327_d_img_d18,-89.968590,-89.103177,197.080059,286.002507,3002,1102,1900,63.29
ch2_ohr_ncp_20240403T1750244247_d_img_d18,-89.608692,-89.397294,220.980719,275.256137,1558,5,1553,99.68
