tile,conf,x1,y1,x2,y2
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y28800.png,0.3099,0.0,535.93,70.4,590.54
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y30080.png,0.2002,521.04,262.05,634.91,349.28
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y31360.png,0.2899,387.03,266.63,497.22,337.66
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y31360.png,0.2782,487.21,262.32,594.81,326.51
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y31360.png,0.2317,481.93,257.99,601.71,342.22
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y33280.png,0.23,60.12,39.67,172.48,151.16
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y33920.png,0.2827,0.0,303.85,75.04,386.98
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y35200.png,0.2367,119.83,547.61,236.77,633.04
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y36480.png,0.2084,42.79,0.0,155.64,52.88
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y37760.png,0.2861,413.08,259.58,545.29,344.34
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y37760.png,0.2201,0.0,78.76,128.58,186.12
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y38400.png,0.2248,511.84,455.21,640.0,556.89
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y38400.png,0.2105,410.52,0.0,534.32,50.18
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y40320.png,0.2094,324.36,253.13,453.97,314.98
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y68480.png,0.2543,38.36,386.25,151.4,452.33
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y70400.png,0.2138,3.71,245.34,123.75,329.31
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y71680.png,0.2175,446.05,362.53,573.74,470.8
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00640_y30720.png,0.2807,518.2,410.78,625.99,491.16
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00640_y30720.png,0.2766,512.5,416.34,634.02,506.33
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00640_y32000.png,0.3435,34.88,298.07,178.09,392.9
