tile,conf,x1,y1,x2,y2
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x01280_y35200.png,0.2501,206.37,235.0,295.58,285.08
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x01920_y36480.png,0.2342,513.89,611.41,589.12,640.0
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x03200_y40960.png,0.2805,23.86,40.09,30.56,46.92
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x03840_y40320.png,0.2626,581.36,195.66,640.0,245.49
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x03840_y40320.png,0.2074,429.93,611.08,499.52,640.0
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x04480_y40320.png,0.2245,586.01,1.18,640.0,27.84
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x04480_y71680.png,0.2067,0.02,615.14,40.44,640.0
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x06400_y75520.png,0.2108,162.39,0.0,217.79,36.07
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x07040_y39680.png,0.37,187.68,63.54,193.82,69.05
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x08960_y74240.png,0.2159,211.73,499.29,317.55,550.26
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x10880_y76800.png,0.2115,563.54,0.0,617.29,41.04
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x00000_y89600.png,0.229,610.97,626.56,639.66,639.91
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x00640_y20480.png,0.4482,360.18,250.82,364.93,256.83
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x00640_y20480.png,0.2293,397.36,274.08,404.28,280.65
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x00640_y23680.png,0.2106,43.98,7.93,50.74,17.17
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x00640_y25600.png,0.2015,0.01,355.45,4.89,364.17
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x00640_y85760.png,0.3697,579.38,9.56,585.87,14.35
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x00640_y88320.png,0.5863,631.1,226.66,638.3,234.58
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x00640_y88320.png,0.509,606.97,290.0,612.69,296.84
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x01280_y100480.png,0.2037,635.96,155.98,639.74,160.52
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x01280_y92160.png,0.3088,158.16,179.25,164.08,187.76
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x01280_y99840.png,0.573,330.95,73.73,367.52,108.55
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x01280_y99840.png,0.4922,314.06,11.49,335.63,33.18
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x01280_y99840.png,0.3959,375.7,383.37,381.71,391.13
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x01280_y99840.png,0.3888,336.47,75.55,366.53,103.84
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x01280_y99840.png,0.3026,374.87,62.53,390.16,90.13
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x01280_y99840.png,0.299,335.49,70.15,347.45,84.04
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x01280_y99840.png,0.2946,395.19,40.78,401.49,47.78
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x01280_y99840.png,0.2584,310.86,319.0,316.03,325.4
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x01280_y99840.png,0.2164,362.01,190.97,366.52,196.78
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x01920_y21760.png,0.2592,150.79,615.14,155.44,621.22
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x03840_y95360.png,0.3565,441.35,610.97,473.59,639.9
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x03840_y99200.png,0.2462,101.61,595.13,108.31,602.21
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x07040_y94720.png,0.2719,630.42,8.97,636.68,14.54
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x07680_y98560.png,0.2202,577.45,635.84,583.04,639.82
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x08320_y97920.png,0.3899,254.49,14.39,262.29,21.42
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x08960_y94080.png,0.5301,40.87,25.75,45.23,32.8
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x08960_y94080.png,0.479,7.38,0.05,14.42,4.07
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x10240_y92800.png,0.3141,490.26,8.74,496.53,14.06
ch2_ohr_ncp_20240406T0647198831_d_img_d18_x10240_y93440.png,0.352,243.56,57.92,249.23,65.52
