tile,conf,x1,y1,x2,y2
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y26880.png,0.2192,238.05,598.22,333.15,640.0
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y26880.png,0.2124,212.47,593.2,336.58,640.0
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y29440.png,0.3855,446.18,591.56,455.09,601.39
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y33280.png,0.2049,64.45,35.45,172.72,148.77
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y35200.png,0.3121,568.11,130.12,575.98,137.95
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y35200.png,0.3104,560.0,599.76,568.7,608.84
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y37760.png,0.2069,347.38,598.32,405.43,631.91
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y38400.png,0.2061,0.0,218.71,87.51,306.18
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y69760.png,0.2063,553.19,538.9,640.0,583.17
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00000_y71040.png,0.2755,631.22,520.92,639.19,528.44
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00640_y27520.png,0.3295,572.71,611.52,581.62,620.02
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00640_y32000.png,0.2512,120.18,189.8,173.15,224.96
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00640_y32640.png,0.402,580.96,594.95,589.05,603.97
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00640_y34560.png,0.2402,0.0,55.11,99.87,143.07
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00640_y36480.png,0.2401,269.74,544.42,365.32,617.71
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00640_y39680.png,0.2033,224.37,575.18,346.52,640.0
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00640_y71040.png,0.3279,556.77,612.95,630.77,640.0
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x00640_y73600.png,0.2032,469.32,33.4,559.29,109.35
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x01280_y32000.png,0.2325,308.19,0.31,344.12,22.32
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x01280_y32000.png,0.2103,233.16,573.34,325.1,640.0
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x01280_y33920.png,0.2552,32.31,583.76,41.02,592.38
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x01280_y35200.png,0.4843,580.52,230.19,638.5,270.9
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x01280_y39040.png,0.3537,0.0,367.93,79.34,451.24
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x01280_y41600.png,0.494,248.26,71.76,259.17,80.6
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x01280_y41600.png,0.4417,551.31,189.39,563.59,201.21
ch2_ohr_ncp_20211228T2209123959_d_img_d18_x01280_y41600.png,0.371,397.26,216.3,408.11,226.17
