name,path,size_mb,date,product_id
ch2_ohr_ncp_20190906T2241285714_d_img_gds.zip,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\pradan.issdc.gov.in\ch2\protected\downloadData\POST_OD\isda_archive\ch2_bundle\cho_bundle\nop\ohr_collection\data\calibrated\20190906\ch2_ohr_ncp_20190906T2241285714_d_img_gds.zip,809.0,20190906,ch2_ohr_ncp_20190906T2241285714_d_img_gds
ch2_ohr_ncp_20190907T0438126359_d_img_g26.zip,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\pradan.issdc.gov.in\ch2\protected\downloadData\POST_OD\isda_archive\ch2_bundle\cho_bundle\nop\ohr_collection\data\calibrated\20190907\ch2_ohr_ncp_20190907T0438126359_d_img_g26.zip,757.4,20190907,ch2_ohr_ncp_20190907T0438126359_d_img_g26
ch2_ohr_ncp_20240425T1012478407_d_img_d18.zip,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\pradan.issdc.gov.in\ch2\protected\downloadData\POST_OD\isda_archive\ch2_bundle\cho_bundle\nop\ohr_collection\data\calibrated\20240425\ch2_ohr_ncp_20240425T1012478407_d_img_d18.zip,812.1,20240425,ch2_ohr_ncp_20240425T1012478407_d_img_d18
ch2_ohr_ncp_20240425T1209509264_d_img_d18.zip,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\pradan.issdc.gov.in\ch2\protected\downloadData\POST_OD\isda_archive\ch2_bundle\cho_bundle\nop\ohr_collection\data\calibrated\20240425\ch2_ohr_ncp_20240425T1209509264_d_img_d18.zip,799.6,20240425,ch2_ohr_ncp_20240425T1209509264_d_img_d18
ch2_ohr_ncp_20240425T1406019344_d_img_d18.zip,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\pradan.issdc.gov.in\ch2\protected\downloadData\POST_OD\isda_archive\ch2_bundle\cho_bundle\nop\ohr_collection\data\calibrated\20240425\ch2_ohr_ncp_20240425T1406019344_d_img_d18.zip,837.7,20240425,ch2_ohr_ncp_20240425T1406019344_d_img_d18
ch2_ohr_ncp_20240425T1603031918_d_img_d18.zip,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\pradan.issdc.gov.in\ch2\protected\downloadData\POST_OD\isda_archive\ch2_bundle\cho_bundle\nop\ohr_collection\data\calibrated\20240425\ch2_ohr_ncp_20240425T1603031918_d_img_d18.zip,795.2,20240425,ch2_ohr_ncp_20240425T1603031918_d_img_d18
ch2_ohr_ncp_20250516T0948068899_d_img_d18.zip,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\pradan.issdc.gov.in\ch2\protected\downloadData\POST_OD\isda_archive\ch2_bundle\cho_bundle\nop\ohr_collection\data\calibrated\20250516\ch2_ohr_ncp_20250516T0948068899_d_img_d18.zip,584.1,20250516,ch2_ohr_ncp_20250516T0948068899_d_img_d18
ch2_ohr_ncp_20250516T1145499313_d_img_d18.zip,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\pradan.issdc.gov.in\ch2\protected\downloadData\POST_OD\isda_archive\ch2_bundle\cho_bundle\nop\ohr_collection\data\calibrated\20250516\ch2_ohr_ncp_20250516T1145499313_d_img_d18.zip,605.9,20250516,ch2_ohr_ncp_20250516T1145499313_d_img_d18
ch2_ohr_ncp_20250516T1342347288_d_img_d18.zip,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\pradan.issdc.gov.in\ch2\protected\downloadData\POST_OD\isda_archive\ch2_bundle\cho_bundle\nop\ohr_collection\data\calibrated\20250516\ch2_ohr_ncp_20250516T1342347288_d_img_d18.zip,577.2,20250516,ch2_ohr_ncp_20250516T1342347288_d_img_d18
ch2_ohr_ncp_20250516T1540191774_d_img_d18.zip,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\pradan.issdc.gov.in\ch2\protected\downloadData\POST_OD\isda_archive\ch2_bundle\cho_bundle\nop\ohr_collection\data\calibrated\20250516\ch2_ohr_ncp_20250516T1540191774_d_img_d18.zip,616.3,20250516,ch2_ohr_ncp_20250516T1540191774_d_img_d18
ch2_ohr_ncp_20250612T2031048828_d_img_d18.zip,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\pradan.issdc.gov.in\ch2\protected\downloadData\POST_OD\isda_archive\ch2_bundle\cho_bundle\nop\ohr_collection\data\calibrated\20250612\ch2_ohr_ncp_20250612T2031048828_d_img_d18.zip,527.0,20250612,ch2_ohr_ncp_20250612T2031048828_d_img_d18
ch2_ohr_ncp_20250612T2229094979_d_img_d18.zip,D:\Nandana\MTECH\Semester 3\Projects\TP\lunar-landslide-boulder-detection\pradan.issdc.gov.in\ch2\protected\downloadData\POST_OD\isda_archive\ch2_bundle\cho_bundle\nop\ohr_collection\data\calibrated\20250612\ch2_ohr_ncp_20250612T2229094979_d_img_d18.zip,557.5,20250612,ch2_ohr_ncp_20250612T2229094979_d_img_d18
